node	all_nodes	bacteria_layer	bindingprot_layer	ppi_layer	tf_layer	deg_layer	gene_symbol	LinkerHeats	avg_log2FC
Q8A5K0	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A5K0		
Q8A2E4	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A2E4		
Q8A8L5	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A8L5		
Q8A7E9	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A7E9		
Q8A8G0	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A8G0		
Q8AB67	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8AB67		
Q8A0Y6	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0Y6		
Q8A1G4	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A1G4		
Q8A3C4	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A3C4		
Q8A3Z4	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A3Z4		
Q8A507	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A507		
Q8A5V0	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A5V0		
Q8A673	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A673		
Q8A8D1	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A8D1		
Q8A9X3	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A9X3		
Q8A677	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A677		
Q8A0Y2	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0Y2		
Q8A0H1	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0H1		
Q8A2L2	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A2L2		
Q8A192	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A192		
Q8A2Y6	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A2Y6		
Q8A9F0	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A9F0		
Q8AAM3	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8AAM3		
Q89YL8	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q89YL8		
Q89ZT1	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q89ZT1		
Q89ZX6	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q89ZX6		
Q8A0E7	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0E7		
Q8A0I1	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0I1		
Q8A0N3	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A0N3		
Q8A1K7	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A1K7		
Q8A515	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A515		
Q8A7A0	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A7A0		
Q8A8Y2	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8A8Y2		
Q8AAK4	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8AAK4		
Q8AAK5	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8AAK5		
Q8AB22	bacteria,nan,nan	bacteria	NA	nan,nan	NA	NA	Q8AB22		
P46937	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	YAP1	0.199069879870255	3.40015126099839
P40763	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	STAT3	0.2471310390945588	
Q09472	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	EP300	0.1496453538213972	
P61978	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HNRNPK	0.1590648971184658	
P45983	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK8	0.4615359406680169	
P63096	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GNAI1	0.0538854274126833	
P67775	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP2CA	0.3894371440308349	
P35222	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	CTNNB1	0.2979634386900922	
P21860	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	ERBB3	0.1067108804857026	
P12931	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SRC	0.2154453297153588	
P23458	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	JAK1	0.3045591743453281	
P42229	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	STAT5A	0.2791483815977971	
Q04206	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	RELA	0.1570804057313876	
O95819	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP4K4	0.1186524544088928	
P51812	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RPS6KA3	0.2170951056326172	
P17252	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	PRKCA	0.2687492053445163	5.82779783787124
P00533	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	EGFR	0.2430989973020228	
P49841	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GSK3B	0.2273222502889748	
P53355	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DAPK1	0.2895566029249961	
Q13469	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFATC2	0.1268739294421105	
Q9UBE8	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NLK	0.5760899168219596	
Q13133	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NR1H3	0.0330978305953639	
P78527	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKDC	0.1143963240194629	
P00519	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	ABL1	0.2552317991211514	
Q05655	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKCD	0.280135413607637	
P0DP24	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CALM3	0.1322182991665754	
P46108	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CRK	0.17006151262042	
Q13263	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TRIM28	0.1134458920206801	
Q06330	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	RBPJ	0.6139839248542774	
Q08209	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP3CA	0.1010445732082126	
P17612	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKACA	0.2412764756394556	
P16070	bindingprot,bindingprot and/or protein,protein and/or tf,deg	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	deg	CD44	0.1367594951307805	3.61205368168075
O43474	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	KLF4	0.0943196933223956	
Q16539	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK14	0.1683357773303482	
P01375	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TNF	0.2493396476668883	
Q13233	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP3K1	0.1948397678653899	
P01100	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	FOS	0.2340881403435308	
