rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
1,Signal Transduction R-HSA-162582,3.687956089502367e-111,8.958250440917107,2277.920700229986,"['APP', 'MAML2', 'TRRAP', 'ZFYVE9', 'RBPJ', 'SMC3', 'CRKL', 'RPS6KA3', 'KAT5', 'AKT2', 'MYC', 'MYB', 'RPS6KA1', 'AKT1', 'SOX9', 'BTRC', 'SOX4', 'MEF2A', 'MEF2C', 'PRKCI', 'PRKCB', 'PRKCD', 'PRKCA', 'CSNK1E', 'PRKAB1', 'RUNX3', 'RUNX1', 'MAML3', 'TP53', 'GRB7', 'CTBP1', 'EPAS1', 'PIK3R3', 'MST1R', 'PIK3R1', 'NLK', 'HIF1A', 'PRKCZ', 'PPP3R1', 'PLCG1', 'PAG1', 'JAG2', 'STAT5A', 'LYN', 'EGR1', 'STAT5B', 'CREBBP', 'JUN', 'JAG1', 'JUND', 'YES1', 'INSR', 'PLK1', 'FZD6', 'PBX1', 'PTK2', 'SMARCA4', 'SNW1', 'LPAR5', 'ID1', 'ID3', 'GRB2', 'NOX1', 'EZH2', 'ACVRL1', 'IKBKB', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'XPO1', 'IKBKG', 'JAK2', 'HRAS', 'JAK1', 'NCOA1', 'SREBF1', 'NCOA2', 'DUSP3', 'ANXA1', 'SYK', 'PARP1', 'NCOA3', 'TCF12', 'SIRT6', 'FOS', 'TYK2', 'RHOA', 'VAV2', 'NCOR2', 'PSMA5', 'NCOR1', 'NR5A2', 'CTTN', 'HNRNPH1', 'PPARG', 'SGK1', 'PPARD', 'YAP1', 'GNAI3', 'EGFR', 'GNAI1', 'RELA', 'GNAI2', 'PPP2CA', 'RXRB', 'RXRA', 'STAT6', 'MEF2D', 'EPS15', 'RANBP2', 'WWOX', 'USP9X', 'STAT1', 'NR1H2', 'STAT3', 'NR1H3', 'VEGFA', 'PPP1CA', 'ITCH', 'CTNNB1', 'FRK', 'FOXA1', 'KDM1A', 'IRS1', 'RORA', 'PRDM1', 'NR3C1', 'TNF', 'IGF1R', 'YY1', 'PPP1CB', 'STK11', 'CCND1', 'GRB10', 'EP300', 'MAP3K7', 'IL6R', 'USP8', 'MAP2K1', 'MAP2K2', 'TLE1', 'ADAM10', 'ADAM17', 'HGS', 'ADAM12', 'MAPKAPK2', 'MAPKAPK5', 'SQSTM1', 'NOTCH2', 'DDX5', 'VCP', 'NOTCH1', 'SHC1', 'CUL3', 'TCF7', 'PSEN1', 'STK4', 'FOXO3', 'FOXO1', 'SOCS3', 'IRAK1', 'ABL1', 'DVL2', 'ABL2', 'PLXNA1', 'SMAD2', 'SMAD1', 'SMAD4', 'POU2F1', 'SMAD3', 'CAV1', 'SMAD9', 'SMAD5', 'NFKB1', 'SMAD7', 'NFKBIA', 'CDK9', 'NR4A1', 'FER', 'BMP2', 'CDK4', 'GNAQ', 'MDM2', 'PLXNB1', 'FGFR3', 'FGFR2', 'BMPR1A', 'FGFR1', 'ITGB1', 'GSK3B', 'GSK3A', 'BMPR2', 'DOCK7', 'PTEN', 'HSPB1', 'CXCL1', 'YBX1', 'YWHAQ', 'SIN3A', 'CASP3', 'NCK2', 'ITGAV', 'PRKG1', 'NCK1', 'HSP90AA1', 'TBP', 'CHUK', 'ITGA3', 'PDPK1', 'AXIN1', 'ETV4', 'TGFBR1', 'TGFBR2', 'CREB1', 'TFDP1', 'PIK3CA', 'ELF3', 'TRAF6', 'CRK', 'HDAC4', 'HDAC5', 'HDAC2', 'GTF2A2', 'PRKAA1', 'HDAC3', 'PRKAA2', 'ROCK1', 'SRC', 'HDAC1', 'SRF', 'LEF1', 'ACVR1B', 'CBL', 'DLL1', 'HDAC6', 'HDAC7', 'LRP6', 'DLL4', 'MAPK8', 'ZNRF3', 'MTA1', 'ERBB3', 'MKNK1', 'ERBB2', 'LRIG1', 'MAPK1', 'PTK2B', 'CSK', 'E2F3', 'E2F4', 'MAPK6', 'CAMK2G', 'EIF4E', 'SH2B3', 'MTA3', 'MAPK3', 'TCF7L2', 'PTPN1', 'BAD', 'PTPN11', 'PTPN12', 'MAPK14', 'ACVR2B', 'USF2', 'USF1', 'MTOR', 'REST', 'RPS6KB1', 'RPS6KB2', 'PTPN6', 'PTPN2', 'BCAR1']",4.794342916353077e-108,Reactome_2022
2,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,1.6913547916020015e-68,13.457763446956275,2100.087437329046,"['IRS1', 'PRDM1', 'CRKL', 'IGF1R', 'RPS6KA3', 'AKT2', 'MYC', 'RPS6KA1', 'GRB10', 'AKT1', 'EP300', 'MEF2A', 'USP8', 'MEF2C', 'MAP2K1', 'MAP2K2', 'PRKCB', 'PRKCD', 'ADAM10', 'PRKCA', 'ADAM17', 'HGS', 'MAPKAPK2', 'ADAM12', 'GRB7', 'SHC1', 'PIK3R3', 'MST1R', 'PIK3R1', 'PSEN1', 'STK4', 'HIF1A', 'PRKCZ', 'PLCG1', 'PAG1', 'LYN', 'STAT5A', 'EGR1', 'STAT5B', 'JUND', 'YES1', 'INSR', 'CAV1', 'PTK2', 'FER', 'ID1', 'ID3', 'GRB2', 'FGFR3', 'FGFR2', 'FGFR1', 'ITGB1', 'DOCK7', 'HSPB1', 'SIN3A', 'NCK2', 'ITGAV', 'JAK2', 'HRAS', 'NCK1', 'HSP90AA1', 'DUSP3', 'ITGA3', 'PDPK1', 'TCF12', 'FOS', 'RHOA', 'VAV2', 'NCOR1', 'CREB1', 'PIK3CA', 'HNRNPH1', 'SGK1', 'CRK', 'YAP1', 'HDAC2', 'HDAC3', 'ROCK1', 'HDAC1', 'SRC', 'SRF', 'CBL', 'EGFR', 'PPP2CA', 'ERBB3', 'MKNK1', 'ERBB2', 'LRIG1', 'MAPK1', 'PTK2B', 'STAT6', 'CSK', 'MEF2D', 'SH2B3', 'EPS15', 'MAPK3', 'WWOX', 'PTPN1', 'STAT1', 'STAT3', 'PTPN11', 'PTPN12', 'MAPK14', 'MTOR', 'VEGFA', 'ITCH', 'REST', 'CTNNB1', 'PTPN6', 'BCAR1', 'PTPN2']",1.099380614541301e-65,Reactome_2022
3,Disease R-HSA-1643685,6.281617331846796e-61,5.78236594309369,801.5519324100725,"['RB1', 'APP', 'KDM1A', 'MAML2', 'ZFYVE9', 'IRS1', 'ZDHHC5', 'KEAP1', 'ENO1', 'RBPJ', 'NR3C1', 'PPP1CB', 'TBK1', 'KAT5', 'CCND1', 'TRIM28', 'AKT2', 'MYC', 'DAG1', 'AKT1', 'TRIM25', 'EP300', 'CAPN1', 'BTRC', 'MAP3K7', 'IL6R', 'VPS39', 'IFNAR2', 'MAP2K4', 'MAP2K1', 'MAP2K2', 'ADAM10', 'PRKCA', 'SND1', 'ADAM17', 'HGS', 'MAML3', 'TP53', 'SQSTM1', 'ANAPC1', 'IFNAR1', 'NOTCH2', 'DNMT1', 'DDX5', 'VCP', 'NOTCH1', 'SDC4', 'SHC1', 'CTBP1', 'CUL3', 'PIK3R3', 'PSEN1', 'PIK3R1', 'FOXO3', 'FOXO1', 'IRAK1', 'ABL1', 'DVL2', 'PLCG1', 'JAG2', 'STAT5A', 'LYN', 'SMAD2', 'STAT5B', 'SMAD4', 'CREBBP', 'JUN', 'JAG1', 'YES1', 'SMAD3', 'CAV1', 'FZD6', 'HMGA1', 'EIF2AK3', 'EIF2AK2', 'NFKB1', 'PTK2', 'NFKB2', 'NFKBIA', 'CDK9', 'NR4A1', 'HNRNPK', 'CDK6', 'SNW1', 'CDK4', 'MDM2', 'ATM', 'GRB2', 'FGFR3', 'NOX1', 'FGFR2', 'FGFR1', 'NFE2L2', 'EZH2', 'ITGB1', 'GSK3B', 'GSK3A', 'PTEN', 'BRCA1', 'IKBKB', 'ZMYM2', 'XPO1', 'YWHAQ', 'SIN3A', 'CASP1', 'IKBKG', 'JAK2', 'IKBKE', 'HRAS', 'NCK1', 'JAK1', 'HSP90AA1', 'TBP', 'SYK', 'PARP1', 'CHUK', 'IFNGR1', 'PDPK1', 'AXIN1', 'TYK2', 'TGFBR1', 'VAV2', 'TGFBR2', 'NCOR2', 'PSMA5', 'CREB1', 'NCOR1', 'TFDP1', 'PIK3CA', 'IRF3', 'TRAF6', 'CD46', 'CRK', 'HDAC4', 'HDAC5', 'BECN1', 'CEBPB', 'HDAC2', 'GTF2A2', 'HDAC3', 'CEBPD', 'ROCK1', 'SRC', 'HDAC1', 'GNAI3', 'CBL', 'DLL1', 'EGFR', 'GNAI1', 'HDAC6', 'RELA', 'GNAI2', 'HDAC7', 'LRP6', 'PPP2CA', 'DLL4', 'MAPK8', 'MUC1', 'MTA1', 'CUX1', 'ERBB3', 'ERBB2', 'LRIG1', 'RBBP8', 'MAPK1', 'E2F2', 'CSK', 'E2F3', 'CAMK2G', 'MTA3', 'EPS15', 'MAPK3', 'RANBP2', 'TCF7L2', 'BAD', 'CDKN2A', 'STAT1', 'STAT2', 'STAT3', 'PTPN11', 'PTPN12', 'MAPK14', 'MTOR', 'VEGFA', 'RAD50', 'REST', 'RPS6KB2', 'CTNNB1', 'PTPN6', 'TAF1']",2.7220341771336115e-58,Reactome_2022
4,Cytokine Signaling In Immune System R-HSA-1280215,1.678355127286183e-57,8.975682568256826,1173.3868181295338,"['APP', 'IRS1', 'RORA', 'TNF', 'CRKL', 'RPS6KA3', 'TBK1', 'CCND1', 'AKT2', 'MYC', 'RPS6KA1', 'GRB10', 'AKT1', 'TRIM25', 'MAP3K8', 'BTRC', 'MAP3K7', 'IL6R', 'IFNAR2', 'MEF2A', 'MAP2K4', 'MAP2K1', 'MEF2C', 'IL4R', 'PRKCD', 'PRKCA', 'PIAS1', 'ADAM17', 'MAPKAPK2', 'TP53', 'SQSTM1', 'IFNAR1', 'SHC1', 'PIK3R3', 'PIK3R1', 'FOXO3', 'HIF1A', 'FOXO1', 'SOCS3', 'IRAK1', 'ABL2', 'PLCG1', 'STAT5A', 'LYN', 'EGR1', 'STAT5B', 'JUN', 'POU2F1', 'YES1', 'SMAD3', 'EIF2AK2', 'NFKB1', 'SMAD7', 'SMARCA4', 'NFKB2', 'NFKBIA', 'BCL6', 'GRB2', 'NFKBIB', 'ITGB1', 'CIITA', 'CXCL1', 'IKBKB', 'GHR', 'CASP3', 'CASP1', 'IKBKG', 'JAK2', 'HRAS', 'JAK1', 'HSP90AA1', 'DUSP3', 'ANXA1', 'ANXA2', 'SYK', 'CHUK', 'IFNGR1', 'FOS', 'TYK2', 'TNFRSF1B', 'PSMA5', 'CREB1', 'PIK3CA', 'IRF3', 'TRAF6', 'IRF1', 'IRF2', 'IRF8', 'CRK', 'CD44', 'CEBPD', 'CBL', 'RELA', 'RELB', 'PPP2CA', 'MAPK9', 'MAPK8', 'MUC1', 'MAPK1', 'PTK2B', 'CSK', 'STAT6', 'CAMK2G', 'EIF4E', 'SH2B3', 'MAPK3', 'RANBP2', 'PTPN1', 'STAT1', 'STAT2', 'STAT3', 'PTPN11', 'PTPN12', 'MAPK14', 'VEGFA', 'PTPN6', 'LTBR', 'PTPN2']",5.4546541636800945e-55,Reactome_2022
5,Generic Transcription Pathway R-HSA-212436,1.1124064561109637e-56,6.516081298689994,839.5204433565646,"['RB1', 'MAML2', 'RORA', 'PRDM1', 'RBPJ', 'NR3C1', 'YY1', 'STK11', 'KAT5', 'CCND1', 'TRIM28', 'AKT2', 'MYC', 'MYB', 'AKT1', 'EP300', 'SOX9', 'PITX2', 'MEF2C', 'PRKCB', 'PRKCA', 'HNF1A', 'PRKAB1', 'RUNX3', 'RUNX1', 'MAF', 'KAT6A', 'DDIT3', 'MAPKAPK5', 'MAML3', 'TP53', 'ANAPC1', 'NOTCH2', 'NOTCH1', 'KMT2A', 'TCF7', 'FOXO3', 'FOXO1', 'SOCS3', 'IRAK1', 'ABL1', 'PPARGC1A', 'ESRRA', 'SMAD2', 'SMAD1', 'SMAD4', 'CREBBP', 'JUN', 'JAG1', 'YES1', 'SMAD3', 'VDR', 'CAV1', 'NFATC2', 'NFKB1', 'SMAD7', 'SMARCA4', 'NR2F6', 'NR4A2', 'CDK9', 'NR4A1', 'BMP2', 'CDK6', 'SNW1', 'BCL6', 'CDK4', 'MDM2', 'ATM', 'EZH2', 'KDM5B', 'GSK3B', 'THRB', 'THRA', 'PTEN', 'YBX1', 'BRCA1', 'YWHAQ', 'SIN3A', 'CASP1', 'MYBL2', 'TEAD1', 'TEAD2', 'TEAD4', 'SREBF1', 'PRMT5', 'TBP', 'PARP1', 'PDPK1', 'TCF12', 'AXIN1', 'FOS', 'SIRT1', 'NCOR2', 'RBL2', 'PSMA5', 'ELF2', 'CREB1', 'NCOR1', 'NR5A2', 'TFDP1', 'PPARG', 'SGK1', 'PPARA', 'PPARD', 'HDAC4', 'YAP1', 'HDAC5', 'CEBPB', 'HDAC2', 'PRKAA1', 'HDAC3', 'PCNA', 'PRKAA2', 'SRC', 'HDAC1', 'NR1I2', 'LEF1', 'DLL1', 'EGFR', 'HDAC6', 'RELA', 'HDAC7', 'AURKA', 'PPP2CA', 'RXRB', 'RXRA', 'ERBB2', 'RBBP8', 'MAPK1', 'E2F4', 'CAMK2G', 'MAPK3', 'TCF7L2', 'PTPN1', 'WWOX', 'NFYA', 'CDKN2A', 'USP9X', 'NFYB', 'STAT1', 'NFYC', 'NR1H2', 'NR1H3', 'PTPN11', 'KLF4', 'MAPK14', 'MTOR', 'VEGFA', 'RAD50', 'ITCH', 'CTNNB1', 'TAF1']",2.8922567858885057e-54,Reactome_2022
6,Developmental Biology R-HSA-1266738,3.4386748930876313e-54,7.489676642485829,922.0129643687537,"['MAML2', 'RBPJ', 'TNF', 'YY1', 'RPS6KA4', 'RPS6KA3', 'AKT2', 'MYC', 'MYB', 'RPS6KA1', 'GRB10', 'DAG1', 'AKT1', 'EP300', 'SOX9', 'CAPN1', 'EPHB2', 'IL6R', 'MEF2A', 'MAP2K1', 'MEF2C', 'MAP2K2', 'SEMA6D', 'ADAM10', 'PRKCA', 'ANK3', 'HNF1A', 'RUNX1', 'MAML3', 'EZR', 'GRB7', 'NOTCH1', 'KMT2A', 'SHC1', 'EPAS1', 'TCF7', 'GATA6', 'PIK3R3', 'PSEN1', 'PIK3R1', 'FOXO3', 'FOXO1', 'EFNB1', 'SDCBP', 'RRAS', 'ABL1', 'ABL2', 'PLXNA1', 'PLCG1', 'PPARGC1A', 'LYN', 'SMAD2', 'SMAD4', 'CREBBP', 'JUN', 'YES1', 'SMAD3', 'NR2F2', 'PBX1', 'NFKB1', 'PTK2', 'SMARCA4', 'MAFB', 'SNW1', 'CDK4', 'PLXNB1', 'GRB2', 'FGFR1', 'EZH2', 'ITGB1', 'GSK3B', 'PPP3CB', 'NCK2', 'ITGAV', 'TEAD1', 'HRAS', 'NEO1', 'NCK1', 'NCOA1', 'SREBF1', 'NCOA2', 'HSP90AA1', 'NCOA3', 'TCF12', 'SREBF2', 'RHOA', 'VAV2', 'NCOR2', 'PSMA5', 'CREB1', 'NCOR1', 'NR5A2', 'TFDP1', 'PIK3CA', 'THRAP3', 'PPARG', 'PABPC1', 'PPARA', 'YAP1', 'CEBPA', 'CEBPB', 'HDAC2', 'HDAC3', 'CEBPD', 'ROCK1', 'SRC', 'LEF1', 'ACVR1B', 'EGFR', 'RELA', 'MAPK8', 'RXRA', 'ERBB2', 'MAPK1', 'MEF2D', 'MAPK3', 'TCF7L2', 'CDX2', 'STAT3', 'PTPN11', 'KLF4', 'MAPK14', 'ACVR2B', 'NFASC', 'KLF5', 'CTNNB1', 'ZNF335']",7.450462268356535e-52,Reactome_2022
7,RNA Polymerase II Transcription R-HSA-73857,3.51997166194338e-51,5.677459362961571,659.5696826356398,"['RB1', 'MAML2', 'RORA', 'PRDM1', 'RBPJ', 'NR3C1', 'YY1', 'STK11', 'KAT5', 'CCND1', 'TRIM28', 'AKT2', 'MYC', 'MYB', 'AKT1', 'EP300', 'SOX9', 'PITX2', 'MEF2C', 'PRKCB', 'PRKCA', 'HNF1A', 'PRKAB1', 'RUNX3', 'RUNX1', 'MAF', 'KAT6A', 'DDIT3', 'SRSF2', 'MAPKAPK5', 'MAML3', 'TP53', 'ANAPC1', 'NOTCH2', 'NOTCH1', 'KMT2A', 'TCF7', 'FOXO3', 'FOXO1', 'SOCS3', 'IRAK1', 'ABL1', 'PPARGC1A', 'ESRRA', 'SMAD2', 'SMAD1', 'SMAD4', 'CREBBP', 'JUN', 'JAG1', 'POU2F1', 'YES1', 'SMAD3', 'VDR', 'CAV1', 'NFATC2', 'NFKB1', 'SMAD7', 'SMARCA4', 'NR2F6', 'NR4A2', 'CDK9', 'NR4A1', 'BMP2', 'CDK6', 'SNW1', 'BCL6', 'CDK4', 'MDM2', 'ATM', 'EZH2', 'KDM5B', 'GSK3B', 'THRB', 'THRA', 'PTEN', 'YBX1', 'BRCA1', 'YWHAQ', 'SIN3A', 'CASP1', 'MYBL2', 'TEAD1', 'TEAD2', 'TEAD4', 'SREBF1', 'PRMT5', 'TBP', 'PARP1', 'PDPK1', 'TCF12', 'AXIN1', 'FOS', 'SIRT1', 'NCOR2', 'RBL2', 'PSMA5', 'ELF2', 'CREB1', 'NCOR1', 'NR5A2', 'TFDP1', 'PPARG', 'SGK1', 'PPARA', 'PPARD', 'HDAC4', 'YAP1', 'HDAC5', 'CEBPB', 'HDAC2', 'GTF2A2', 'PRKAA1', 'HDAC3', 'PCNA', 'PRKAA2', 'SRC', 'HDAC1', 'NR1I2', 'LEF1', 'DLL1', 'EGFR', 'HDAC6', 'RELA', 'HDAC7', 'AURKA', 'PPP2CA', 'RXRB', 'RXRA', 'ERBB2', 'RBBP8', 'MAPK1', 'E2F4', 'CAMK2G', 'MAPK3', 'TCF7L2', 'PTPN1', 'WWOX', 'NFYA', 'CDKN2A', 'USP9X', 'NFYB', 'STAT1', 'NFYC', 'NR1H2', 'NR1H3', 'PTPN11', 'KLF4', 'MAPK14', 'MTOR', 'VEGFA', 'RAD50', 'ITCH', 'CTNNB1', 'TAF1']",6.53709022932342e-49,Reactome_2022
8,Gene Expression (Transcription) R-HSA-74160,5.063759407233624e-50,5.331533742331288,605.1671761031806,"['RB1', 'MAML2', 'RORA', 'PRDM1', 'RBPJ', 'NR3C1', 'YY1', 'STK11', 'KAT5', 'CCND1', 'TRIM28', 'AKT2', 'MYC', 'MYB', 'AKT1', 'EP300', 'SOX9', 'PITX2', 'MEF2C', 'PRKCB', 'PRKCA', 'HNF1A', 'PRKAB1', 'RUNX3', 'RUNX1', 'MAF', 'KAT6A', 'DDIT3', 'SRSF2', 'TFAM', 'MAPKAPK5', 'MAML3', 'TP53', 'ANAPC1', 'NOTCH2', 'DNMT1', 'NOTCH1', 'KMT2A', 'TCF7', 'FOXO3', 'FOXO1', 'SOCS3', 'IRAK1', 'ABL1', 'PPARGC1A', 'ESRRA', 'SMAD2', 'SMAD1', 'SMAD4', 'CREBBP', 'JUN', 'JAG1', 'POU2F1', 'YES1', 'SMAD3', 'VDR', 'CAV1', 'NFATC2', 'NFKB1', 'SMAD7', 'SMARCA4', 'NR2F6', 'NR4A2', 'CDK9', 'NR4A1', 'BMP2', 'CDK6', 'SNW1', 'BCL6', 'CDK4', 'MDM2', 'ATM', 'EZH2', 'KDM5B', 'GSK3B', 'THRB', 'THRA', 'PTEN', 'YBX1', 'BRCA1', 'YWHAQ', 'SIN3A', 'CASP1', 'MYBL2', 'TEAD1', 'TEAD2', 'TEAD4', 'SREBF1', 'PRMT5', 'HSP90AA1', 'TBP', 'PARP1', 'PDPK1', 'TCF12', 'AXIN1', 'FOS', 'SIRT1', 'NCOR2', 'RBL2', 'PSMA5', 'ELF2', 'CREB1', 'NCOR1', 'NR5A2', 'TFDP1', 'PPARG', 'SGK1', 'PPARA', 'PPARD', 'HDAC4', 'YAP1', 'HDAC5', 'CEBPB', 'HDAC2', 'GTF2A2', 'PRKAA1', 'HDAC3', 'PCNA', 'PRKAA2', 'SRC', 'HDAC1', 'NR1I2', 'LEF1', 'DLL1', 'EGFR', 'HDAC6', 'RELA', 'HDAC7', 'AURKA', 'PPP2CA', 'RXRB', 'MTA1', 'RXRA', 'ERBB2', 'RBBP8', 'MAPK1', 'E2F4', 'CAMK2G', 'MTA3', 'MAPK3', 'RANBP2', 'TCF7L2', 'PTPN1', 'WWOX', 'NFYA', 'CDKN2A', 'USP9X', 'NFYB', 'STAT1', 'NFYC', 'NR1H2', 'NR1H3', 'PTPN11', 'KLF4', 'MAPK14', 'MTOR', 'VEGFA', 'RAD50', 'ITCH', 'NFIA', 'CTNNB1', 'TAF1']",8.228609036754639e-48,Reactome_2022
9,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,1.5645705567993294e-49,9.822756397175857,1103.872112596814,"['GSK3B', 'GSK3A', 'MAML2', 'ZFYVE9', 'IRS1', 'PTEN', 'RBPJ', 'PPP1CB', 'ZMYM2', 'AKT2', 'MYC', 'AKT1', 'EP300', 'JAK2', 'HRAS', 'MAP2K1', 'HSP90AA1', 'MAP2K2', 'CHUK', 'PDPK1', 'AXIN1', 'ADAM10', 'SND1', 'TGFBR1', 'TGFBR2', 'NCOR2', 'PSMA5', 'ADAM17', 'NCOR1', 'CREB1', 'PIK3CA', 'MAML3', 'SQSTM1', 'HDAC4', 'HDAC5', 'CEBPB', 'HDAC2', 'VCP', 'NOTCH1', 'HDAC3', 'CTBP1', 'SHC1', 'HDAC1', 'SRC', 'PIK3R3', 'PIK3R1', 'PSEN1', 'FOXO3', 'CBL', 'DLL1', 'EGFR', 'FOXO1', 'HDAC6', 'HDAC7', 'LRP6', 'PPP2CA', 'DLL4', 'CUX1', 'ERBB3', 'ERBB2', 'MAPK1', 'CSK', 'PLCG1', 'CAMK2G', 'MAPK3', 'JAG2', 'LYN', 'STAT5A', 'RANBP2', 'SMAD2', 'STAT5B', 'TCF7L2', 'CREBBP', 'SMAD4', 'JAG1', 'YES1', 'SMAD3', 'STAT1', 'BAD', 'FZD6', 'STAT3', 'EIF2AK3', 'PTPN11', 'PTPN12', 'MTOR', 'NR4A1', 'SNW1', 'RPS6KB2', 'MDM2', 'CTNNB1', 'GRB2', 'FGFR3', 'FGFR2', 'FGFR1']",2.2599352487101426e-47,Reactome_2022
10,Signaling By Interleukins R-HSA-449147,2.1893464985046393e-48,10.46634092119584,1148.5812908423868,"['ITGB1', 'APP', 'IRS1', 'RORA', 'CXCL1', 'TNF', 'CRKL', 'IKBKB', 'RPS6KA3', 'TBK1', 'CCND1', 'MYC', 'CASP3', 'RPS6KA1', 'CASP1', 'AKT1', 'MAP3K8', 'IKBKG', 'JAK2', 'BTRC', 'MAP3K7', 'IL6R', 'JAK1', 'MEF2A', 'MAP2K4', 'MEF2C', 'MAP2K1', 'HSP90AA1', 'ANXA1', 'DUSP3', 'IL4R', 'ANXA2', 'CHUK', 'SYK', 'PRKCA', 'FOS', 'TYK2', 'TNFRSF1B', 'PSMA5', 'CREB1', 'PIK3CA', 'TRAF6', 'MAPKAPK2', 'SQSTM1', 'CRK', 'TP53', 'CEBPD', 'SHC1', 'PIK3R3', 'PIK3R1', 'FOXO3', 'CBL', 'HIF1A', 'FOXO1', 'RELA', 'PPP2CA', 'SOCS3', 'MAPK9', 'MAPK8', 'MUC1', 'IRAK1', 'MAPK1', 'PTK2B', 'STAT6', 'MAPK3', 'LYN', 'STAT5A', 'STAT5B', 'JUN', 'YES1', 'POU2F1', 'SMAD3', 'STAT1', 'STAT2', 'STAT3', 'PTPN11', 'PTPN12', 'MAPK14', 'NFKB1', 'NFKB2', 'SMARCA4', 'VEGFA', 'NFKBIA', 'BCL6', 'PTPN6', 'GRB2', 'PTPN2', 'NFKBIB']",2.846150448056031e-46,Reactome_2022
